ID,Date,Date,Sample_Period,Flag,Waypoint,Type,HS,SF,HW,Sand ,Other,Pit_Group,,,
1,6/22/2023,6/22/23,1,1,8,Pit,5,0,5,70,20,Sand,,,
2,6/22/2023,6/22/23,1,1,8,NonPit,5,0,5,60,30,Sand,,,
3,6/22/2023,6/22/23,1,2,9,Pit,50,0,0,0,50,HS/Other,,,
4,6/22/2023,6/22/23,1,2,9,NonPit,55,0,0,0,45,HS/Other,,,
5,6/25/2023,6/25/23,1,3,10,Pit,10,0,0,90,0,Sand,,,
6,6/25/2023,6/25/23,1,3,10,NonPit,5,0,5,90,0,Sand,,,
7,6/25/2023,6/25/23,1,4,11,Pit,10,15,0,48,2,Sand,,,
8,6/25/2023,6/25/23,1,4,11,NonPit,5,30,0,50,15,Sand,,,
9,6/27/2023,6/27/23,1,5,12,Pit,1,2,0,77,30,Sand,,,
10,6/27/2023,6/27/23,1,5,12,NonPit,3,0,0,77,30,Sand,,,
11,6/27/2023,6/27/23,1,6,13,Pit,95,0,0,5,0,HS,,,
12,6/27/2023,6/27/23,1,6,13,NonPit,90,0,0,10,0,HS,,,
13,6/27/2023,6/27/23,1,7,14,Pit,90,0,0,5,5,HS,,,
14,6/27/2023,6/27/23,1,7,14,NonPit,75,0,0,20,5,HS,,,
15,6/28/2023,6/28/23,1,8,15,Pit,1,15,0,84,0,Sand,,,
16,6/28/2023,6/28/23,1,8,15,NonPit,1,15,0,84,0,Sand,,,
17,6/28/2023,6/28/23,1,9,16,Pit,80,0,0,10,10,HS,,,
18,6/28/2023,6/28/23,1,9,16,NonPit,75,0,0,10,15,HS,,,
19,6/28/2023,6/28/23,1,10,16,Pit,49,0,0,1,50,HS/Other,,,
20,6/28/2023,6/28/23,1,10,16,NonPit,15,0,0,5,80,HS/Other,,,
21,7/6/2023,7/6/23,1,11,17,Pit,10,5,0,85,0,Sand,,,
22,7/6/2023,7/6/23,1,11,17,NonPit,5,5,0,90,0,Sand,,,
23,7/7/2023,7/7/23,1,12,19,Pit,15,0,0,85,0,Sand,,,
24,7/7/2023,7/7/23,1,12,19,NonPit,20,1,0,79,0,Sand,,,
25,7/7/2023,7/7/23,1,14,20,Pit,40,2,0,58,0,HS/Sand,,,
26,7/7/2023,7/7/23,1,14,20,NonPit,30,15,0,65,0,HS/Sand,,,
27,7/7/2023,7/7/23,1,15,21,Pit,3,2,0,95,0,Sand,,,
28,7/7/2023,7/7/23,1,15,21,NonPit,5,5,0,90,0,Sand,,,
29,7/7/2023,7/7/23,1,16,22,Pit,20,0,0,80,0,Sand,,,
30,7/7/2023,7/7/23,1,16,22,NonPit,25,0,0,75,0,Sand,,,
31,7/11/2023,7/11/23,1,13,23,Pit,10,2,2,86,0,Sand,,,
32,7/11/2023,7/11/23,1,13,23,NonPit,5,2,3,90,0,Sand,,,
33,7/11/2023,7/11/23,1,17,24,Pit,10,5,0,85,0,Sand,,,
34,7/11/2023,7/11/23,1,17,24,NonPit,1,5,5,84,0,Sand,,,
35,7/11/2023,7/11/23,1,18,24,Pit,3,0,0,97,0,Sand,,,
36,7/11/2023,7/11/23,1,18,24,NonPit,3,0,0,92,5,Sand,,,
37,7/11/2023,7/11/23,1,19,25,Pit,60,10,0,30,0,HS,,,
38,7/11/2023,7/11/23,1,19,25,NonPit,5,1,0,89,5,HS,,,
39,7/11/2023,7/11/23,1,20,24,Pit,15,5,0,80,0,Sand,,,
40,7/11/2023,7/11/23,1,20,24,NonPit,5,10,0,85,0,Sand,,,
